#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD001874	20120814_EXQ4_JRW_SA_B21_0_L1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_L1.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_L1/reports/20120814_EXQ4_JRW_SA_B21_0_L1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_0_L2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_L2.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_L2/reports/20120814_EXQ4_JRW_SA_B21_0_L2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_0_L3	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_L3.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_L3/reports/20120814_EXQ4_JRW_SA_B21_0_L3_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_0_L4	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_L4.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_L4/reports/20120814_EXQ4_JRW_SA_B21_0_L4_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_0_T1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_T1.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_T1/reports/20120814_EXQ4_JRW_SA_B21_0_T1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_0_T2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_0_T2.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 1/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_0_T2/reports/20120814_EXQ4_JRW_SA_B21_0_T2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_L1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_L1.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_L1/reports/20120814_EXQ4_JRW_SA_B21_1_L1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_L2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_L2.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_L2/reports/20120814_EXQ4_JRW_SA_B21_1_L2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_L3	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_L3.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_L3/reports/20120814_EXQ4_JRW_SA_B21_1_L3_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_L4	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_L4.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_L4/reports/20120814_EXQ4_JRW_SA_B21_1_L4_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_T1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_T1.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_T1/reports/20120814_EXQ4_JRW_SA_B21_1_T1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B21_1_T2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B21_1_T2.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample A, technical repeat 2/Colorectal_cancer/61/F	Tissue normal liver	Homo sapiens	A	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B21_1_T2/reports/20120814_EXQ4_JRW_SA_B21_1_T2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_L1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_L1.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_L1/reports/20120814_EXQ4_JRW_SA_B22_0_L1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_L2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_L2.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_L2/reports/20120814_EXQ4_JRW_SA_B22_0_L2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_L3	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_L3.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_L3/reports/20120814_EXQ4_JRW_SA_B22_0_L3_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_L4	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_L4.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_L4/reports/20120814_EXQ4_JRW_SA_B22_0_L4_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_T1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_T1.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_T1/reports/20120814_EXQ4_JRW_SA_B22_0_T1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_0_T2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_0_T2.mgf	Trypsin (no P rule)	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 1/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_0_T2/reports/20120814_EXQ4_JRW_SA_B22_0_T2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_1_L1	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_1_L1.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 2/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_1_L1/reports/20120814_EXQ4_JRW_SA_B22_1_L1_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_1_L2	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_1_L2.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 2/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_1_L2/reports/20120814_EXQ4_JRW_SA_B22_1_L2_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_1_L3	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_1_L3.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 2/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_1_L3/reports/20120814_EXQ4_JRW_SA_B22_1_L3_sample_1_Default_Hierarchical_Report.txt
PXD001874	20120814_EXQ4_JRW_SA_B22_1_L4	public_data/PXD001874/mgf/20120814_EXQ4_JRW_SA_B22_1_L4.mgf	Lys-C	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD001874	26825538	Hepatocyte sample B, technical repeat 2/Colorectal_cancer/73/M	Tissue normal liver	Homo sapiens	B	Sample_type(7_patients_A-H), technical_repeat/Diagnosis/Age/gender	3	0	analysis/mass_spec/reanalysis_r1.4/PXD001874/20120814_EXQ4_JRW_SA_B22_1_L4/reports/20120814_EXQ4_JRW_SA_B22_1_L4_sample_1_Default_Hierarchical_Report.txt
