#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD002582	20131128_Macrophage_set1_FN_10_01	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_10_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_10_01	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_10_01/reports/20131128_Macrophage_set1_FN_10_01_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_10_02	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_10_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_10_02	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_10_02/reports/20131128_Macrophage_set1_FN_10_02_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_11_01	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_11_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_11_01	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_11_01/reports/20131128_Macrophage_set1_FN_11_01_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_11_02	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_11_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_11_02	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_11_02/reports/20131128_Macrophage_set1_FN_11_02_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_12_01	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_12_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_12_01	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_12_01/reports/20131128_Macrophage_set1_FN_12_01_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_12_02	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_12_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_12_02	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_12_02/reports/20131128_Macrophage_set1_FN_12_02_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_1_01	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_1_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_1_01	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_1_01/reports/20131128_Macrophage_set1_FN_1_01_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_1_02	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_1_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_1_02	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_1_02/reports/20131128_Macrophage_set1_FN_1_02_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_2_01	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_2_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_2_01	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_2_01/reports/20131128_Macrophage_set1_FN_2_01_sample_1_Default_Hierarchical_Report.txt
PXD002582	20131128_Macrophage_set1_FN_2_02	public_data/PXD002582/mgf/20131128_Macrophage_set1_FN_2_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, TMT 6-plex of K, TMT 6-plex of peptide N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD002582	26229149	20131128_Macrophage_set1_FN_2_02	Primary cells Bone marrow derived macrophages	Mus musculus	1	"no TMT_key found - either proteome or Phosphoproteome (TiO2 Phosphopeptide enrichment) labelled ""Phospho""."	3	4	analysis/mass_spec/reanalysis_r1.4/PXD002582/20131128_Macrophage_set1_FN_2_02/reports/20131128_Macrophage_set1_FN_2_02_sample_1_Default_Hierarchical_Report.txt
