#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	report
PXD004682	20150912_Haura-Pilot_N0294_bRPLC01-1	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC01-1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC01/1	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC01-1/reports/20150912_Haura-Pilot_N0294_bRPLC01-1_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC01-2	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC01-2.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC01/2	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC01-2/reports/20150912_Haura-Pilot_N0294_bRPLC01-2_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC02-1	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC02-1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC02/1	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC02-1/reports/20150912_Haura-Pilot_N0294_bRPLC02-1_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC02-2	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC02-2.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC02/2	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC02-2/reports/20150912_Haura-Pilot_N0294_bRPLC02-2_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC03-1	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC03-1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC03/1	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC03-1/reports/20150912_Haura-Pilot_N0294_bRPLC03-1_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC03-2	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC03-2.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC03/2	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC03-2/reports/20150912_Haura-Pilot_N0294_bRPLC03-2_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC04-1	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC04-1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC04/1	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC04-1/reports/20150912_Haura-Pilot_N0294_bRPLC04-1_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC04-2	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC04-2.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC04/2	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC04-2/reports/20150912_Haura-Pilot_N0294_bRPLC04-2_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC05-1	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC05-1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC05/1	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC05-1/reports/20150912_Haura-Pilot_N0294_bRPLC05-1_sample_1_Default_Hierarchical_Report.txt
PXD004682	20150912_Haura-Pilot_N0294_bRPLC05-2	public_data/PXD004682/mgf/20150912_Haura-Pilot_N0294_bRPLC05-2.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M	high	https://www.ebi.ac.uk/pride/archive/projects/PXD004682	28195392	N0294/bRPLC05/2	Tissue lung 4 carcinomas or adjacent cells	Homo sapiens	1	" #patient/fractions_bRPLC/replicat ; 4 patients,lung carcinomas cells or adjacent tissus, 12 fractions, duplicata technique"	analysis/mass_spec/reanalysis_r1.4/PXD004682/20150912_Haura-Pilot_N0294_bRPLC05-2/reports/20150912_Haura-Pilot_N0294_bRPLC05-2_sample_1_Default_Hierarchical_Report.txt
